,OVERALL,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Att.Position,Interceptions,Vision,Composure,Crossing,short_pass,long_pass,acceleration,stamina,strength,balance,sprint_speed,agility,jumping,heading,shot_power,finishing,long_shots,curve,fk_acc,penalties,volleys,gk_positioning,gk_diving,gk_handling,gk_kicking,gk_reflexes
0,92,88,85,35,19,42,81,93,95,49,81,88,71,85,70,77,76,86,82,79,77,84,90,90,95,87,79,85,90,89,8,15,6,12,10
1,92,92,88,28,24,32,63,95,95,29,82,95,84,82,77,87,84,78,71,91,87,95,90,94,95,93,81,76,84,86,14,7,11,15,11
2,91,30,12,27,18,12,34,88,11,19,65,68,13,43,40,43,41,78,49,60,67,78,15,59,11,12,13,14,11,13,90,87,92,78,90
3,91,92,88,68,53,65,76,91,88,66,94,91,94,94,93,77,89,74,78,77,79,63,55,91,82,91,85,83,83,82,10,15,13,5,13
4,91,95,95,35,29,30,51,91,87,36,90,93,85,87,81,94,80,50,83,89,96,62,62,80,87,84,88,89,92,87,15,9,9,15,11
5,90,90,92,34,32,34,62,92,91,38,80,84,78,83,70,96,86,76,82,96,92,77,73,86,91,79,79,63,80,83,11,13,5,7,6
6,90,89,90,38,41,43,63,92,91,55,84,90,79,84,75,94,85,75,91,92,91,69,59,80,91,84,83,69,83,81,11,14,14,9,14
7,90,77,70,93,86,93,83,88,47,90,65,90,53,79,86,67,73,92,53,78,61,90,87,81,52,64,60,70,62,45,11,13,10,13,11
8,90,46,30,17,11,10,29,87,12,30,70,70,15,60,68,54,43,80,35,60,51,77,25,68,13,16,14,11,47,11,88,88,88,91,89
9,89,30,27,15,16,19,27,87,13,11,66,65,17,45,44,56,32,78,37,47,40,52,19,63,13,14,19,18,23,20,90,86,86,84,89
10,89,85,83,85,79,85,89,88,80,84,85,85,91,87,89,77,95,68,84,66,84,79,72,78,68,84,85,61,44,69,15,8,15,7,15
11,89,85,81,63,38,36,80,92,93,44,86,91,77,84,86,66,84,85,71,69,69,79,86,91,94,86,83,68,91,87,14,8,10,11,11
12,89,79,69,85,87,88,91,87,75,87,80,84,58,84,84,60,89,90,66,69,61,87,79,88,64,81,62,74,66,62,12,13,14,16,12
13,89,19,16,28,14,14,32,86,16,20,68,67,11,30,37,54,39,75,61,53,60,74,11,56,15,13,11,15,25,11,87,90,85,75,90
14,89,23,13,20,16,18,23,84,13,15,44,66,14,33,35,42,38,70,45,52,62,68,13,56,14,17,19,20,27,12,86,84,89,74,88
15,89,83,65,85,90,88,90,92,73,88,71,88,66,82,83,72,81,85,66,70,78,93,92,79,65,64,74,76,92,69,7,11,8,9,11
16,88,88,83,72,65,73,78,91,87,66,91,87,87,91,88,78,93,70,79,75,79,73,64,89,83,89,87,87,91,87,8,12,14,15,14
17,88,40,23,29,8,15,38,88,20,27,70,70,20,57,59,64,41,78,48,63,60,66,14,70,14,18,15,20,17,18,87,86,82,93,88
18,88,88,90,42,38,42,75,92,90,35,83,84,76,84,71,95,86,71,88,93,93,86,84,83,87,78,77,64,71,75,7,10,10,15,14
19,88,74,69,91,87,89,87,85,35,87,52,82,30,74,63,73,70,94,41,77,52,82,84,55,22,15,28,28,33,14,13,7,11,7,5
20,87,84,77,46,30,43,85,87,88,43,69,83,47,77,51,82,80,93,69,91,75,74,69,94,92,85,77,62,76,88,11,7,14,13,7
21,87,90,92,32,32,41,44,85,82,39,87,85,82,87,70,86,77,67,90,80,91,51,38,73,81,65,84,65,65,83,11,7,11,10,13
22,87,83,81,83,81,84,85,85,77,83,79,83,88,82,76,79,95,65,74,85,78,62,67,78,57,65,82,50,55,32,7,11,8,10,14
23,87,87,84,74,77,85,81,88,85,86,84,82,75,86,84,77,88,88,70,83,76,79,86,85,82,86,76,75,60,69,11,13,8,15,9
24,87,82,76,87,86,88,86,87,70,88,79,84,75,85,83,68,88,81,65,69,66,75,75,81,63,70,71,53,90,47,8,13,12,6,8
25,87,82,78,57,54,52,87,91,93,49,74,88,69,70,56,87,77,68,76,86,76,79,79,87,92,67,68,60,85,84,15,15,14,7,11
26,87,79,68,89,88,88,81,87,68,88,74,86,68,83,84,74,82,75,67,80,69,91,87,62,45,38,57,32,47,33,10,6,6,12,13
27,87,86,87,47,47,53,59,89,90,30,82,78,78,84,69,96,79,71,94,88,94,57,46,78,83,79,77,63,67,67,15,15,12,12,9
28,87,84,83,34,32,33,77,90,93,40,71,86,55,80,53,82,78,77,77,85,75,77,81,86,93,80,70,51,88,85,12,6,8,15,6
29,87,84,76,47,46,57,62,94,96,58,85,84,85,84,82,68,86,66,71,68,74,77,81,78,88,82,81,59,70,84,14,6,7,11,14
30,87,22,11,20,12,13,40,82,14,15,48,65,12,32,36,51,45,65,51,47,55,71,16,55,12,14,16,14,18,14,87,86,82,73,88
31,87,87,88,41,52,55,73,84,84,42,88,86,88,83,80,82,78,60,76,83,94,72,51,83,79,86,89,88,73,78,12,10,7,11,11
32,87,80,69,90,87,90,71,88,56,91,80,89,65,82,86,46,65,86,62,66,63,70,88,71,57,49,66,53,68,61,5,15,6,10,6
33,87,90,85,70,71,75,62,88,78,80,90,92,86,91,89,76,83,58,92,70,91,67,55,79,72,82,85,78,82,76,14,13,9,7,9
34,87,84,83,57,38,45,87,92,91,41,84,85,80,83,77,74,78,85,78,68,76,69,84,89,92,88,86,82,83,90,33,27,25,31,37
35,87,34,10,29,18,10,31,85,10,27,30,65,13,50,50,65,41,43,54,62,55,74,10,49,10,14,11,10,40,11,85,89,83,65,90
36,87,16,18,25,13,10,25,81,12,22,41,69,12,42,40,45,41,69,36,50,47,78,10,53,10,19,12,14,23,12,89,88,83,70,88
37,87,88,86,30,24,29,65,89,92,24,80,91,70,80,64,77,62,74,90,71,82,78,78,89,94,83,83,73,75,85,11,13,15,6,14
38,86,69,67,92,83,89,83,86,30,87,57,87,40,74,70,75,77,85,55,73,50,78,82,50,42,30,34,30,56,40,8,10,13,12,12
39,86,82,76,83,78,84,76,80,75,83,81,83,63,85,83,66,87,82,69,65,65,71,78,83,64,76,65,54,46,59,14,10,10,7,8
40,86,86,77,78,79,83,74,81,76,82,84,81,91,85,89,76,87,62,74,80,74,66,69,82,59,75,87,85,55,62,6,14,15,14,7
41,86,30,28,20,16,14,30,80,14,26,60,68,12,36,34,50,34,72,38,55,64,72,12,57,12,18,12,14,24,8,84,89,81,76,89
42,86,88,87,76,77,76,70,88,77,82,86,90,75,90,86,80,90,74,79,82,83,76,68,68,71,63,84,64,45,69,10,7,13,10,9
43,86,88,89,29,21,27,38,85,85,23,81,78,79,80,74,94,69,64,84,93,91,73,61,80,75,73,83,70,70,77,3,5,3,5,5
44,86,84,78,83,85,83,84,84,75,82,74,81,84,83,74,79,89,74,81,80,79,77,72,68,51,47,76,47,45,49,9,13,13,15,15
